time,open,high,low,close
2025-02-03 00:01:00,190.288,190.65,190.182,190.45
2025-02-03 00:02:00,190.279,190.311,190.228,190.231
2025-02-03 00:03:00,190.355,190.387,190.355,190.387
2025-02-03 00:04:00,190.386,190.412,190.372,190.41
2025-02-03 00:05:00,190.408,190.513,190.408,190.513
2025-02-03 00:06:00,190.512,190.609,190.377,190.565
2025-02-03 00:07:00,190.565,190.577,190.523,190.551
2025-02-03 00:08:00,190.551,190.604,190.551,190.604
2025-02-03 00:10:00,190.682,190.752,190.582,190.582
2025-02-03 00:11:00,190.619,190.634,190.508,190.634
2025-02-03 00:12:00,190.633,190.724,190.633,190.692
2025-02-03 00:13:00,190.693,190.714,190.643,190.683
2025-02-03 00:14:00,190.641,190.741,190.641,190.741
2025-02-03 00:15:00,190.742,190.874,190.738,190.849
2025-02-03 00:16:00,190.848,190.874,190.84,190.856
2025-02-03 00:17:00,190.874,190.877,190.874,190.874
2025-02-03 00:18:00,190.85,190.858,190.835,190.835
2025-02-03 00:19:00,190.835,190.86,190.833,190.833
2025-02-03 00:20:00,190.834,190.891,190.831,190.881
2025-02-03 00:21:00,190.855,190.881,190.854,190.871
2025-02-03 00:22:00,190.841,190.874,190.841,190.874
2025-02-03 00:23:00,190.779,190.856,190.763,190.856
2025-02-03 00:24:00,190.855,190.868,190.765,190.868
2025-02-03 00:25:00,190.869,190.902,190.855,190.901
2025-02-03 00:26:00,190.901,190.904,190.856,190.898
2025-02-03 00:27:00,190.879,190.98,190.856,190.98
2025-02-03 00:28:00,190.985,190.985,190.898,190.918
2025-02-03 00:29:00,190.924,190.926,190.903,190.903
2025-02-03 00:30:00,190.729,190.903,190.729,190.748
2025-02-03 00:31:00,190.781,190.796,190.705,190.705
2025-02-03 00:32:00,190.703,190.81,190.691,190.783
2025-02-03 00:33:00,190.783,190.786,190.783,190.786
2025-02-03 00:34:00,190.747,190.76,190.73,190.76
2025-02-03 00:35:00,190.761,190.772,190.745,190.772
2025-02-03 00:36:00,190.77,190.822,190.68,190.68
2025-02-03 00:37:00,190.678,190.759,190.677,190.712
2025-02-03 00:38:00,190.714,190.714,190.691,190.711
2025-02-03 00:39:00,190.711,190.741,190.711,190.741
2025-02-03 00:40:00,190.741,190.757,190.738,190.742
2025-02-03 00:41:00,190.742,190.742,190.733,190.735
2025-02-03 00:42:00,190.734,190.763,190.734,190.747
2025-02-03 00:43:00,190.746,190.748,190.735,190.735
2025-02-03 00:44:00,190.735,190.763,190.734,190.747
2025-02-03 00:45:00,190.752,190.752,190.705,190.731
2025-02-03 00:46:00,190.727,190.73,190.692,190.698
2025-02-03 00:47:00,190.699,190.715,190.691,190.696
2025-02-03 00:48:00,190.694,190.789,190.692,190.768
2025-02-03 00:49:00,190.767,190.785,190.763,190.766
2025-02-03 00:50:00,190.766,190.795,190.752,190.783
2025-02-03 00:51:00,190.786,190.791,190.746,190.77
2025-02-03 00:52:00,190.756,190.763,190.748,190.753
2025-02-03 00:53:00,190.748,190.748,190.697,190.697
2025-02-03 00:54:00,190.695,190.695,190.666,190.676
2025-02-03 00:55:00,190.682,190.704,190.609,190.609
2025-02-03 00:56:00,190.591,190.591,190.569,190.589
2025-02-03 00:57:00,190.58,190.638,190.577,190.637
2025-02-03 00:58:00,190.648,190.77,190.636,190.77
2025-02-03 00:59:00,190.772,190.787,190.763,190.763
2025-02-03 01:00:00,190.703,190.904,190.5,190.649
2025-02-03 01:01:00,190.65,190.868,190.545,190.684
2025-02-03 01:02:00,190.635,190.903,190.635,190.873
2025-02-03 01:03:00,190.875,190.891,190.702,190.811
2025-02-03 01:04:00,190.733,190.877,190.733,190.828
2025-02-03 01:05:00,190.856,190.856,190.647,190.762
2025-02-03 01:06:00,190.812,191.023,190.812,190.957
2025-02-03 01:07:00,190.889,190.997,190.868,190.943
2025-02-03 01:08:00,190.951,191.18,190.842,191.156
2025-02-03 01:09:00,191.136,191.184,191.064,191.181
2025-02-03 01:10:00,191.182,191.299,191.181,191.235
2025-02-03 01:11:00,191.24,191.282,191.132,191.149
2025-02-03 01:12:00,191.155,191.205,191.112,191.127
2025-02-03 01:13:00,191.127,191.166,191.108,191.124
2025-02-03 01:14:00,191.126,191.192,191.032,191.039
2025-02-03 01:15:00,191.038,191.089,190.879,191.057
